"Panel Type","Plus Panel","Serial #","Shooting FW","WL Control FW","Logging FW","GUI SW","Surface Check FW","Received Date","XC Base","Panel Status","Unit#","Sales Order#","Date Updated","Tracking Info","Comments","Verified","RMA","Spare","Customer District","Operating Company","Customer","Updated By","Activity","Field View History of Panel ","Viewed Digital Shooting Panel","Viewed Surface Tester","Related Panel Records","Changes Summary",
"P2500","N","230804","","189","7.2.0","26.02","","4/18/2024","Midland","Leased","2118","","5/25/2026","","","Y","","N","TIER-Oklahoma","Continental Resources","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1170 , 1379 , 1715 , 1716","","","rKSQy1BwNw44UQA2A4B0L4 , sbhaThIa9t4uezdOpHGOac , 24thFmzRBZ4gaK6O-gVFyb , pTzzEAVNI74QeEj-k3fbT2 , WGSX9dcNda4La3F0fUZ9A6 , f0vIPedHFK4herpJVS6dC6","",
"P2500","N","241141-1v2","","189","7.2.0","26.02","","3/28/2025","Midland","Leased","2015","","5/25/2026","","","Y","","N","TIER-Oklahoma","Validus Energy","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1289","","","l_m2Peoy5A4suLF15Bb0V1 , F7px0erzqp4oqtJ-1TmY7a , lfXrqEBDIC4pQGRo5LyJ7f , yKH4Mo7LRL4QEZxfJXG9B5 , v-wj2TuAqz4qecUy-Loem2 , kkjMPhO2N54EqzCsnT_52b , nwkf_7QLIB4AYpC2kv54c0 , x5nIILsCD34_yZGPtxkUV1","",
"P2500","N","240716-1v1","","189","7.2","26.02","","8/12/2024","Midland","Leased","2011","","5/25/2026","","","Y","","N","TIER-Oklahoma","Sandridge Energy","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1305 , 1314 , 1378 , 1550 , 1689 , 1726 , 1749","","","TKI1SoxasE4qYbx6W8Fix9 , 4k3h7bdRXG4OYytUQuWrFf , 4BWr73BJs84kEkaEYVvIY2 , 3iJnPxm-qs4NaBP5ZGZQ_4","",
"P2500","N","250363-1v3","","189","7.2","25.12","","5/23/2025","Williston","Leased","857","","5/25/2026","","","Y","","N","GOW-Williston","Chord Energy Corp","Go Wireline LLC","Martin Aguilar","N","983 , 1199 , 1328 , 1329 , 1381","","","WLPU92n4T44jM51MnAvH-5 , 9DQWKSjQjn4QYcS4-Wg_x4 , LxNHUaAsc54gYU24m9PQFa , vcynMOrMkw4bAsh2yjfK50 , CwHej8zCng4i2YMM3WMyJ6 , KyK9qNgCx-4IQc8Hc0TkEb , Qe31zTUAY_4FEgrH79ZFU8 , ZvfHVas63z4Wq76bbYY1F0 , ixc4T3WR7G4wuGrwvJKbkd , WUOvrJ70Vc4C2SxHGazJp6 , OSE2IKxQrO4sy6U-vavuo9 , Pyros6QnUV47YMW5dEpjrc , SCG0GGbOMJ4riqCUE3UNC7","",
"P2500","Y","2511111-1v4","","189","7.2.0","25.12","","2/21/2026","Midland","Leased","8115","","5/25/2026","","","Y","","N","TWG-Midland","Matador Resources Company","The Wireline Group","Larry Beaver","","1479 , 1541 , 1574 , 1575 , 1576 , 1578 , 1581 , 1582 , 1612 , 1634 , 1635","","","_fQWS3vT6e42QMaZDBACCd , DpaXDaY0iJ4CUP1snfSi00","",
"P2500","N","240407-1v1","","189","7.2","25.12","","7/22/2024","Williston","Leased","627","","5/25/2026","","","Y","","N","GOW-Williston","Rockport Energy Solutions","Go Wireline LLC","Martin Aguilar","N","1520","","","GYoqqLddjG4-uP9bCX_IZ3 , VL_2Q7X0EX4w6bOC99TP7e , Db3d2AEDl_4iEwBQMgCk_2 , GHRGSv29FZ4fMwQkB4Q5Oe , WSGCj7gIAg43eHK-1hh4U4 , WL8EexRefz4BITcENQo7Kc , DFPgroH8o94dA5qyys36N4 , xGl1TNS0dd4pIZUvimSk7a , rzxhb1uDZ94kiMwDBthJc6 , 0wRcFp4MF_4wqRFQ_7bUu5","",
"P2500","N","250783-1V4","","189","7.2","25.12","","9/11/2025","Williston","Leased","804","","5/25/2026","","","Y","","N","GOW-Williston","Devon Energy","Go Wireline LLC","Martin Aguilar","N","1242 , 1327 , 1540","","","RZHZpZyynI4_y8qunVNAj6 , ZF6fW8qNMF4VU_7IdRQgM6 , jjxl6DmAfB4cIxTdQze5w8 , n-Qv9NQKeT4cQCzfYVTui2 , M2tvHxituH4BUxPjT0VDre , uA-P4HT1XI4Hm4HTGp1nWf , -cbtvWZ4oo47EGFivVF3N8 , v9555ChYED4LyyAVj75PX6 , 54T_lePvhm4zaiVrLfCur2 , 3dWfRts3a341MUVrbaPkDa , 8tC6qWDUaB4AIskZMk_1ae , ZtoLNAKnXE4Vi00f_3mnz6","",
"P2500","N","240510-1v1","","189","7.2","26.02","","6/24/2024","Midland","Loaned","2122","","5/25/2026","","","Y","","N","TIER-Midland","Matador Resources Company","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1159 , 1160 , 1362","","","6Z7KhdjN-l4lieCOFgmsz7 , v3Rnp78fII4cq698WFxJbc , baVYQtO-Ss4REMYjy5vbR5 , i7qkV5GIHA4Vi-0S9Yu_1c , rA1_5kw5e-46qyy-94dJzc , HrHeNy77kF46isEYGRkXO8","",
"P2500","Y","2511109-1v4","","189","7.2.0","26.02","","3/2/2026","Midland","Leased","2115","","5/24/2026","","","Y","","N","TIER-Oklahoma","Validus Energy","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1697 , 1730 , 1737 , 1748","","","l3Mn0YcU5E4cYTeH52WRGa , tTqcROaofy4iajU-F4_-66 , LP8JkTKpRk4D2Kfpu0s3A2 , KC0wx4yTv149mUMh2Ngjj2","",
"P2500","N","241154-1V2","","189","7.2","25.12","","9/11/2025","Williston","Leased","626","","5/24/2026","","","Y","","N","GOW-Williston","Formentera","Go Wireline LLC","Martin Aguilar","N","1322 , 1326","","","pCbJM8NYMv4dYYUuaUx0r1 , N0HbFn6XyC4TAfWP9zdknd , _zlcO8xUQH4va6vWCuo7P7 , gKu7qd43Fi4byO_IOcYqy1 , sSi1azl8yI49YCiqVd0Dd6 , 1qJWzf35Dq4EiKz4PGfGp1 , vkPgBUwwCi4OyyjG1jsd86 , QabpPRu4FW4Ua7jsJ6rgQb , xrT7YK4CE04WyNLcGKXNUe , 9PTMlrX8OR41AqLID4AXtc","",
"P2500","N","240939-1v1","","187","7.2","26.02","","12/22/2024","Midland","Leased","2123","","5/21/2026","","Spare truck on Circle S in STX","Y","","N","TIER-Midland","Circle-S Energy, LLC","Tier 1 Completions Solutions, Inc.","Eric Williams","","1292 , 1336 , 1339 , 1340 , 1350 , 1363 , 1396 , 1510 , 1513","","","CaQ-pGT60B4vyBXNZi1Xbb , EsUJ3lNnHf4N63mxcjdU53 , 3cNaX-cYvp4WUoW3SMzNh9 , tcQxKFMUEm4RMhrmIqMvH1 , zgiROgqKcC4MEwZHtTwUCe , BfCUvJtL9d4DeDSBC65iwa , WGbz38kyTA4OQlBG23hMBa , WCHP6dLs9F4OmCiJu6mQj2 , h3dpzNSZjO4oqYUiFUwAn3 , fqkcl-39LE4HQ00fxRIRG8 , A3kmz_tGKQ46AVOFMIta90 , DrenzR61zu45qHb1XCwea8","",
"P2500","Y","2601119-1v4","","187","7.2","Na","","4/22/2026","Midland","Leased","Na","","5/21/2026","","","Y","","N","LES-Platteville","Hunt Oil","Liberty Energy Inc.","Eric Williams","","","","","bkTM1rMnmH4am_0y1l09O9 , iOrUfcWPVb4jIPZSHeGBSe , XDIEJwc-6S43ud9R2DNk3c","",
"P2500","Y","2511104-1v4","","187","7.2","26.02","","1/21/2026","Midland","Leased","003","","5/17/2026","","","Y","","N","CCS-Midland","Riley Exploration Permian, Inc.","Caliber Completions Services, LLC","Eric Williams","","1399 , 1419 , 1421 , 1712 , 1721","","","7CqXgR4GUa4sI9hvmbNHS7 , jcV3gna54n4TiqZDNocEL2 , U2-LEJwVVo4QuMBsV5TnP9","",
"P2500","Y","2601121-1v4","","187","7.2","","","5/13/2026","Midland","At Facility","","","5/13/2026","","","Y","","","","","","Eric Williams","","","","","fw4W32wuJ245ub3djsARsb","",
"P2500","Y","2601120-1v4","","187","7.2","","","5/13/2026","Midland","At Facility","","","5/13/2026","","","Y","","","","","","Eric Williams","","","","","","",
"P2500","N","230802-1v1","","184","7.2","25.08","","2/19/2024","Midland","Leased","NA","","5/4/2026","","Grand Junction Does Not Have This Panel.","Y","","N","TWG-Grand Junction","Not Specified","The Wireline Group","Robert Grissom","","","","","QYFkwtwRBh4SY-2JfvHALf , RT9Ud1vRg_49iPVPFQ06e9 , 20qjlBYfrT4kMSSfowLpT9 , 4z_IozEfZ-4hUlHQEGINDe","",
"P2500","N","250574-1v3","","245","7.2","26.02","","7/18/2025","Midland","Leased","2118","","4/24/2026","","","Y","","N","TWG-Midland","Validus Energy","The Wireline Group","Larry Beaver","","1168 , 1262 , 1286 , 1658","","","WonqFC4rZq49Yeq_YrjBR9 , ifs21BADSD4y2bmT3pG3N7 , q_32E02HCV4aqJc7ssvBpa , qN0S2Ate6y4HaoxgB4Utu1 , _bmothv0_K4_u4nwQMBMG7 , XD5ZVwi53v4pqRCdRDvUS3 , qMBXf609MS49a2xZkPE9Q7","",
"P2500","N","241149-1v2","","187","7.2","26.02","","3/28/2025","Midland","Leased","824001","","4/17/2026","","","Y","","N","TWG-Midland","Matador Resources Company","The Wireline Group","Larry Beaver","N","1474 , 1494 , 1503 , 1565 , 1638","","","XFOm7U7Xmh4Ca_lmDiYroa , 8ihiDLv5ud4iqllf6i2JH1 , e6gxuxwQTF4sAw1xS06oya , f1UjyVEnzd4FMd3BTmo2j9 , avlp8wDbgE41ylHwPnrjX0 , 2j59E3t-Q84HizdYF6Erif , vd8rTjkChr46IwH5iHGxRd , 6Ws1H_QS_R4VQ3-mpBf2Q2 , 2UWDRDW5JC4gyqVcUCdus8","",
"P2500","N","240615-1v1","","187","25.12","","","8/29/2024","Denver","Sold","","NA","4/16/2026","","","Y","","","LES-Platteville","1876 Resources Inc","Liberty Energy Inc.","Rob Fogarty","","624 , 628 , 671 , 847 , 1166 , 1171 , 1172 , 1182 , 1183","","","IiS20cfw_Y4NMgSonoGUS5 , k5bkqkq72K4pydXCDVdN98 , Z1LRc9TmEk4-MvpocrZJee , aRJuW9_7uv4EqeCMwRxvtb , ALyYYpjUtG4laQ6Ug6a09d , mAY2o4vQiT4CErm6ef-QFf , iCRMdB3ZuE4YyhfHd9TePe , DUBKtAj41N4EAA701TgIPf , NY0JMNKqJq4_E4NT1t-p85 , V7WGcfHq_n4TucbJnYTAud , qWRzyYfuWQ43qHiSO7hMfd , vucL-UAOyR4Ja-cBpE0c34 , c_wuKZqak_4hI024AKPw37 , 8ryVjoKj3H4-EP908CE1M8 , y_VPSFE5Fm4h6m8w8_bkne , lE17wGgZ-u4MYQT7Zgr8V3","",
"P2500","Y","2601117-1V4","","187","7.2","26.02","","4/1/2026","Denver","Leased","NA","","4/16/2026","","","Y","","N","TWG-Farmington","Hilcorp Energy Company","The Wireline Group","Robert Grissom","N","1624 , 1625","","","19UKw8UTIw4n6p8QkQR0Y9","",
"P2500","N","240717-1v1","","245","7.2","25.12","","9/26/2024","Midland","Leased","12128","","4/13/2026","","","Y","","N","LES-South Texas","HighPeak Energy","Liberty Energy Inc.","Mike Grober","","1410 , 1420 , 1423 , 1428 , 1637 , 1641 , 1642 , 1646","","","mekvAfPR2q4yyi7slz91O1 , WOIrYLGr0I4haV7H57Nymc , EXRoXOWht64CUbK1FGScB2 , h1rY_4AZU54-2NBN5DOmP6 , Luybhq8ajF4liY40UNq8Ne , LpxYgsYoXa4UyIeNXp_uG0 , 0Qs_t6Gntw48Q4BgQRZla6 , 3p8g9VBRb04LANcjOgvMQf , I059MX0Hoc4xYED_cdvsA6 , GK7wDg2rIA4tepgoISn8k5 , cjC3YupbSs4_ALNdbXGVr2 , _jzuiY7Snj4vMbl7fH0zN2","",
"P2500","Y","2601118-1v4","","187","7.2","25.12","","4/1/2026","Midland","Leased","12103","","4/13/2026","","","Y","","N","LES-South Texas","HighPeak Energy","Liberty Energy Inc.","Mike Grober","","1651 , 1652 , 1660 , 1661 , 1676 , 1724","","","Buq3jbizlB40MRNMg_pfGf","",
"P2500","Y","2511112-1v4","","187","7.2","25.12","","4/1/2026","Williston","Leased","251","","4/2/2026","","","Y","","N","GOW-Williston","Phoenix Operating LLC","Go Wireline LLC","Martin Aguilar","","","","","6A_BLGOn3U4pEnOLmGVxf9 , w6givlwXkl4O2Z7XpDVbV8","",
"P2500","N","240932-1v1","","187","7.2","25.12","","12/16/2024","Williston","Leased","150","","4/2/2026","","","Y","","N","GOW-Williston","Phoenix Operating LLC","Go Wireline LLC","Martin Aguilar","","793 , 794 , 895 , 896 , 935 , 999 , 1000","","","z4ywWpAGRW49MBxkmxiRa4 , _a-sk_n7Cu4YqAwakr7vef , Gf79TO7t7N4YqiEd0DFXf0 , Y0M7p27uqj4Xunt85jXoYf , t8ZO74C7034CyW54bWdiQ0 , GXxVvL4jhJ4PmIBuB7xnXe , tBYBj1kLbQ4nAsjKVM9s01 , ZaAzAgAY5p4bE53HTwwNc2 , TtApm_DFdY4nUvK0uJI1v7 , XE9YyBwocn40qaQ88gw3d5 , wuf3d1dws_4sar61QbzzY6","",
"P2500","Y","250784 1v4","","245","7.2","25.12","","9/26/2025","Denver","Leased","276","","3/29/2026","","","Y","","N","GOW-Greeley","Rockport Energy Solutions","Go Wireline LLC","Martin Aguilar","N","","","","rkI_cLQCll4yq_4AFs4Jxb , LKRlwMpuEY4C2mY5HpTCwf , 0OA80wF1iK4xE0Z1786bb1 , RjzSJ0dTcK4yEG0W-tDKf1 , ygk1rrBIiM4x6EKLQRIIZf , JZukp8I5m94sqlkSMRzwI3 , oZP-40N-7o4zQa14czxyt3 , EE1IXjraZ74sq0KEXpwus7 , oh6hpTDR5a4ZaarhoWb5Df","",
"P2500","Y","251099-1v4","","187","7.2.0","25.12","","12/30/2025","Williston","Leased","Shop","","3/20/2026","","","Y","","Y","SRF-Williston","Shop","Surefire Wireline West, LLC","Robert Grissom","","","","","B3FlnU0tWX4hM5xUwqPSk5 , jTqtHDuAsm46YKuWH0V9q2","",
"P2500","Y","251096-1v4","","245","7.2","25.08","","11/12/2025","Midland","Leased","3","","3/19/2026","","","Y","","N","STR-Midland","EOG Resources","Strata Wireline, LLC.","Eric Williams","N","1394 , 1416 , 1417 , 1418 , 1431 , 1457 , 1551 , 1555","","","ZJEx3DoWyO4Ni2txkX5dJ9 , 5__mPqNBOU4gioRYjGJa45 , qRuxskjq5l4vE8OwKbVC3e , axSjnVfv0b4cuHzoCKPE-7 , CdgKuSAeZD4I6ZXRPR7Kq7 , 5TmXh8VUnD4l6s9xRgdDu7 , Y5snOOgtVr4ZMsGZQEYxu8 , MTgGfLGYSd4iiR70Ayi8J0 , laxZMbwRJE4ReNGZpxqbhf","",
"P2500","Y","2511110-1v4","","245","7.2.0","25.08","","2/23/2026","Midland","Leased","8101","","3/18/2026","","","Y","","N","TWG-Midland","Matador Resources Company","The Wireline Group","Eric Williams","","1526 , 1554 , 1559 , 1560 , 1561 , 1562 , 1563 , 1568 , 1570 , 1572 , 1577 , 1580 , 1622 , 1668 , 1669 , 1670 , 1679","","","nh34V5-3qv4YAQmoy0Gmab","",
"P2500","Y","2511108-1v4","","187","7.2","25.12","","3/2/2026","Denver","Leased","2131","","3/12/2026","","","Y","","N","TIER-Platteville","Bison Oil & Gas","Tier 1 Completions Solutions, Inc.","Robert Grissom","","","","","VaHEK5p7a04EAa-r0FjnD0","",
"P2500","N","250581-1v3","","187","7.2","25.12","","9/18/2025","Williston","Leased","669","","3/5/2026","","","Y","","N","GOW-Williston","Devon Energy","Go Wireline LLC","Theo Morris","Y","1321 , 1373 , 1434 , 1521 , 1633","","","Sk3L0tuoPE42eWYDVBGHXb , 5W9Eu-JIl_4HupsYXZzVY6 , Z58WMzFbNQ4gqrc4uJsDo3 , QN_1sycdVw4fIpfz36NdR2 , SWD0JkuYgo45yExK7rY4U8 , Ga6Be2ere04wIV5H8w4vz7 , HEWQDIlhWk4-Q5XywiMNPb , OtmZ9Jijv84-6R4hVS8hL7 , lIxzJIY2904NaQ--6-d6e7","",
"P2500","N","240512-1v1","","245","7.2","25.08.1","","8/12/2024","Denver","Leased","8506","","3/2/2026","","","Y","","N","TWG-Windsor","Prairie Energy Partners","The Wireline Group","Rob Fogarty","","","","","0mmywGVlk-4BMOHqUuWlP7 , NjtcFZEqbQ4QACRiOPCQU6 , lxq4watLlI45Uy-L0amOq9 , -3tX1IwXmJ4aEsl_OtDOEc , EvM4Ga-Mvy4imXIaFdXVb1 , d3I6P60xyk48iW6J20aq92","",
"P2500","N","250579-1v3","","245","7.2","25.08.1","","7/16/2025","Denver","Leased","NA","","2/27/2026","","","Y","","N","TWG-Windsor","Occidental Petroleum Corp","The Wireline Group","Rob Fogarty","","1501","","","ObdMYRyW-K4xuPDWdppcob , LdJR9spN6g4HEBsEbSUqKd , N8k_CPdpWG4_uOQENjHCOa , ks230EfRlC4DeHrnQKLH-1 , XG1A8fcIXX46Qpqq5OoTE4 , le3AvsQXVz4UubkDfRShsf , W9odoaHjxO4vQMYkXooIJe","",
"P2500","N","250369-1v3","","187","7.2","25.12","","6/6/2025","Denver","Leased","119","","2/27/2026","","","Y","","N","KLX-Platteville","Crowheart Energy","KLX Energy Services","Robert Grissom","Y","","","","LByzVtrXp64WmM4jtkm_66 , nya9Qrpat_4iYC4hQB3be5 , MpgsDLC5Va4HMExI8yLREf , 6TPKAdfd6t4Uqao4SrqIJ3 , 7a_bAqQLBK4QiYONT9lhUc , 35LEtr5RAb4XEvO1dwet08 , pWl3uPK8qT4ZyMXA4Efr7b , sU6zcAAeI04dashOunTD8c , YVERVaRx1l4W6KVSrw8HF1","",
"P2500","Y","2510101-1v4","","187","7.2","25.12","","12/30/2025","Denver","Leased","Na","","2/27/2026","","","Y","","Y","LES-Platteville","Laramie Energy","Liberty Energy Inc.","Rob Fogarty","","1500","","","pkHN4d8LhA46q7Pei3a1qc , yamzl-UtM94QmInxMi-Ft1 , 35b0Xwm7iA4Jmj7C859ww2","",
"P2500","Y","250782-1V4","","187","7.2","25.12","","9/11/2025","Denver","Leased","137","","2/26/2026","","","Y","","N","NES-Charleroi","Expand Energy","Nine Energy Service, Inc.","Eric Williams","","1245 , 1249 , 1264 , 1628 , 1662","","","NDejod9UuK4gyphzlfV_S1 , ejWTuH7oAT4A2_wyQbqI-6 , PDs0c2TlwO4JyRRYw8tBi6 , 6TSGIArTZz4W2YVbQNHf41 , mdHp4EsTnC4Wu_BC6wLC8c , -UNZcTAOUr4YeXXMsokFbc , oRXQcguhIU42y6DDdhjKj1","",
"P2500","Y","250988-1V4","","245","7.2","","","10/20/2025","Denver","In Repair","","","2/23/2026","","Won't obtain CCL","Y","","","","","","Robert Grissom","","1234 , 1455","","","btrDtvrDT24ViHMJqmWbv9 , vkmEk7NXim4BIPuzlZ5-ee , FN9g7kQGRL4oi4cQfQOtw9 , MV6WpmzwSX4LiP6JZrbT46","",
"P2500","Y","2511103-1v4","","187","7.2","25.12","","1/11/2026","Midland","Leased","141","","2/22/2026","","On Expand 2","Y","","N","NES-Charleroi","Expand Energy","Nine Energy Service, Inc.","Eric Williams","","1482 , 1489 , 1492","","","Q9FjyUnMSP4Bix_VZmyjIa , GT5ll7Mzt94nuEWriDWkr8","",
"P2500","N","250362-1v3","","245","7.2","25.08","","5/24/2025","Denver","Leased","No Truck Number Yet","","2/3/2026","","","Y","","N","TIER-Platteville","Civitas Resources","Tier 1 Completions Solutions, Inc.","Rob Fogarty","","1194 , 1338 , 1347","","","AmyIRbMk8P4EmmVbxL0ii1 , ZQ3D9pKWDw47q8BkrgAmi5 , jappwASIAg4nuJyeBIu0e4 , 2rB2AmO9_84wmflPx1G2Sc , QjjnXooy164Z6UxYjtikO2 , 7Tt2L5bE8s4Ael7AD6_aub , vazk1xvh594NMBKZd8QSr5 , iKEj8IpTFU45i0Lgcb2xV1","",
"P2500","N","240829-1v1","","245","7.2","25.08.1","","12/16/2024","Denver","Leased","5005","","2/3/2026","","","Y","","N","TWG-Windsor","Occidental Petroleum Corp","The Wireline Group","Rob Fogarty","","","","","tCgIDsdmhq4mMx2hwuk774 , xL5ZYnnAxi44y8flQkRtBe , l7naHHW4xn4fMjInsss_2c , Zav_xL1Ix_4NI6Bf5y6_M9 , lDGZT3ht1S46mQXKGEaDo0 , eQIrtkTI9U4Mywf2Lflmz2","",
"P2500","N","240409-1v1","","187","7.2","25.08","","5/13/2024","Denver","Leased","2133","","1/30/2026","","Civitas 2nd truck","Y","","N","TIER-Platteville","Civitas Resources","Tier 1 Completions Solutions, Inc.","Rob Fogarty","Y","","","","YPRHZcd38s4e2X5j_eNlJe , n1CkGTCIgm47QbBFnBdKZ6 , ta8IXUQChk49yHoOJBKX_0 , crHt7MrCRC4JU1JDVie3Bd , 4chNH866tG4gEP6dG3Cdxc , b6j2A2usaN4VMZOaJYFYc0 , y-xmhQ70Tq4a6KFNjRkv7f , VoL6682hIc4RuDaAzUy-Hd , JRQFM2WrLt4j2xhdDl23q7 , p5trKrOfYt47EQHcATXdn2 , raSvtjTrPh4NYhTsyIU1r4 , _f00FePvWW47y5lce0pSH0 , __M2k1FNHW4pmM0yLJ88j0 , KnvCveuTXe4Z6KUS5peigb , _4UdNRfMWy4nMylQwVAKBa , zXlPVC4-jc4uYjdpd4FjQ4 , JHhJ_liGxd4am4rzkppct7 , 2VlXaFGumX4FyMmCqK1cS5 , 7SGPHBPq6C4D28OVMoBC_a","",
"P2500","N","240613-1v1","","245","7.2","","","7/22/2024","Williston","In Repair","","","1/27/2026","https://www.fedex.com/fedextrack/?trknbr=888127343033&trkqual=2461063000~888127343033~FX","","Y","","","","","","Robert Grissom","","1388","","","2schN7jh_e49a_yAzbftG8 , NWYLR88Kgs4GuNaqK38w27 , beoORSratA4delgEJbxOs3 , 2E8B8TUDnM4zaIk1sxDEme , ZpTe_z1o-x4higjz5ojZm5 , 4JTPJFc9OY4bMG_hpIuBC8 , vT1KZX7Qg24vyeBLZ_cPG1 , w15gnqWdrt4li5A5kP6a78 , tcEjNgXVmi4RQUy9VEKwf9 , vlNv4h1SmV4SuD32JheT-4 , MwvmXkv8iC4rm7PXKl_SPf , mbQ-lYbHyv4Lm9BNVpKed6 , ihMtNGFnZi4AYxtOMITkab , J_QoQkyrVv4Ey0PPY9NVFe , TaTwj73py74Sabu6_OH_X2 , -bTawffJvi4DeLqCMJQaN5 , 3P49r6ced24dMrzK01MhT7","",
"P2500","N","250358-1v3","","245","7.2.4","25.08","","5/9/2025","Midland","Leased","2012","","1/19/2026","","","Y","","N","TIER-Oklahoma","Mach Energy Services, LLC","Tier 1 Completions Solutions, Inc.","Mike Grober","","1169 , 1389 , 1602 , 1717","","","3WK47Ua5kW4JMouYekWiR5 , JpCUseps8J4piRcJfoyBw2 , y5f3zoZ7Tf4gQnGXIPI7Zd , 8SW3fxQaNm4umtxpP3l42e , jW0wmpEwkx4IE_cOVyIDtc , puRP8Mbe0h4FUjpA_4SUm6 , Yydxt9jIHR4UqVF2LjFULb","",
"P2500","N","240511-1v1","","176","7","25.08","","6/24/2024","Denver","Leased","224","","1/16/2026","","","Y","","N","RMWS-Grand Junction","Not Specified","Rocky Mountain Wireline Service","Robert Grissom","","","","","E2hY3G0FiL49eHpBRyI0V1 , uiBlz4gEV84xmL2YWhmIR1 , My3t0S7Yv04Ji41jF-5MFc , WnMcA-6UGh4EQZLDNB2Hb5 , puroy0rYaW4VQqePYPJt22 , g8OU8tufQu4qQQjxEdwRkc","",
"P2500","Y","2510102-1v4","","187","7.2.0","25.12","","12/30/2025","Williston","Leased","8118","","1/15/2026","","","Y","","N","TWG-Vernal","KODA Resources","The Wireline Group","Theo Morris","","","","","bIKfKiZcqm47Mc0TKH6H57 , bYJzR4ZnG54zEANITbyFle , ywpg0Xk85P4CylnkSU4EYa","",
"P2500","N","251098-1v4","","245","1.20","25.08","","12/30/2025","Denver","Leased","225034","","12/30/2025","","","Y","","N","KLX-Platteville","Crowheart Energy","KLX Energy Services","Rob Fogarty","","","","","","",
"P2500","N","250367","","245","7.2","25.08","","6/17/2025","Midland","Leased","144","","12/28/2025","","","Y","","N","NES-Longview","Expand Energy","Nine Energy Service, Inc.","Eric Williams","","1130 , 1282 , 1335 , 1341 , 1344","","","nSzDcfcjNO48IYj87oUWIf , lQ_gME78-d426kIzG7lKpe , atYXg5oC-_4eEddNc0Usnb , MwK-IwjC_W4tM5VDdaRi3a , NhBkVWlDca4men6xBW5vd9 , nG91wgf_O14gq8IexFyVG3 , qa0-5b40Bk48qDs5OE5S51 , YFfWYT0Ngf4O2jeEKlqT02","",
"P2500","N","240828-1v1","","245","7.1","25.08","","11/13/2024","Denver","Leased","New Electric Unit.","","12/27/2025","","Broken Screen","Y","","N","TIER-Platteville","Bison Oil & Gas","Tier 1 Completions Solutions, Inc.","Rob Fogarty","","","","","wwzAwG0_mC4tIsIk8fX4J3 , b9bV5IzaJb4eMotiwZAlr0","",
"P2500","Y","251090-1v4","","245","7.2","25.08.1","","12/5/2025","Midland","Leased","12026","","12/15/2025","","","Y","","N","HWS-Victoria","ConocoPhillips","Horizontal Wireline Services","Theo Morris","","1308","","","lKXg7RJZ_p4FYf9JUR2nD8 , X-XQm3Dd7i49u5g6nwO5j0 , Be8koR-qWV4TyG6hUP5Wff","",
"P2500","N","250368-1v3","","245","7.2","25.08","","6/6/2025","Denver","Leased","12158","","12/8/2025","","","Y","","N","LES-Platteville","SM Energy","Liberty Energy Inc.","Rob Fogarty","","","","","dhZdEroNba4zYlG1iCY6A2 , Jj5b_2Mmqq4TmIiG5QnS68 , 2fTZSYqFae4KYj21-ptw96 , bLfmt213kl4OABLd5_CyR3 , 0yeRmBolEP492L1jwSESJd , BHwOY6UZTF4GylHO325VG6","",
"P2500","N","241153-1v2","","245","7.2","25.08","","3/28/2025","Midland","Leased","25","","12/8/2025","","","Y","","N","TIER-Midland","Matador Resources Company","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1278 , 1280 , 1567 , 1569 , 1636","","","NJEfHwH5j843qMJCAgKXi0 , 4FfNvgibjY4JmqH8ojq6Nc , 2O4Dvxuuui4CQ3EpYK6hz3 , BL0dB2-k7w4QypRT0o2c15 , 4dw_Vxkltm4gqwaqcQ5L14","",
"P2500","Y","251094-1v4","","187","7.2","","","12/5/2025","Midland","At Facility","","","12/5/2025","","","Y","","","","","","Larry Beaver","","1310","","","","",
"P2500","N","241151-1v2","","247","7.2","25.10.1","","8/22/2025","Midland","Leased","132","","11/28/2025","","","Y","","N","NES-Charleroi","Expand Energy","Nine Energy Service, Inc.","Eric Williams","","1266 , 1267 , 1451","","","ucvgLSiGzy4_ykpjikhMi5 , cAqKNmAncL4Ku7HPu5k6qe","",
"P2500","Y","250989-1v4","","247","7.2","25.10.1","","10/10/2025","Midland","Leased","119","","11/10/2025","","","Y","","N","NES-Charleroi","Snyder Brothers Inc","Nine Energy Service, Inc.","Eric Williams","N","1196 , 1223 , 1237 , 1274 , 1621 , 1667","","","53p-THKi1M4gaeJIrgl-i5 , zzuvg7rPc64x6HzvIOL1Wa , 7mwOI_c9M44_IT6wB8lvx9 , -0MnMMz9gX4MaZKfvprIwb , vFhZyKt9s94RU2udFaCwE8 , CGradNFMHC4uEwRU22eoa3 , vRQxBIcA8F4dIFl9heLEn7","",
"P2500","Y","250786 1v4","","185","7.2","25.10.1","","9/26/2025","Midland","Leased","8054","","11/7/2025","","","Y","","N","TWG-Vernal","Hilcorp Energy","The Wireline Group","Larry Beaver","","1221 , 1229 , 1374 , 1375","","","V15m1EjUMh4720dxsR10f3 , q80V6JAvqV49ACP9-ULPw7 , Uy0Iit5nLU4CeQAUBigm74","",
